usuario,hotel_recomendado,hotel_historico,num_propiedades_compartidas,ratio_propiedades_compartidas,cobertura_tipos_propiedades,precision_at_5,recall_at_5,f1_at_5,ndcg_at_5,mrr,hit_rate,map,diversidad_tipos_shannon,novedad_threshold_2,serendipia,consistencia_tipos,peso_ponderado_perfil,jaccard_similarity,balance_tipos_gini,riqueza_explicativa
35,3136,4326,1,0.05555555555555555,1,1.0,0.013333333333333334,0.02631578947368421,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.013333333333333334,1.0,0.1414213562373095
35,3136,5767,5,0.5,4,1.0,0.06666666666666667,0.125,0.6907700731340152,1.0,1.0,1.0,1.9219280948873623,0.8,0.0,1.0,0.5333333333333333,0.06666666666666667,0.8500000000000001,0.6324555320336759
35,3136,2344,3,0.058823529411764705,3,1.0,0.04,0.07692307692307693,0.7076553232957626,1.0,1.0,1.0,1.584962500721156,0.6666666666666666,0.0,1.0,0.6,0.04,1.0,0.4242640687119285
35,3136,2989,2,0.14285714285714285,2,1.0,0.02666666666666667,0.05194805194805195,0.7609096232928763,1.0,1.0,1.0,1.0,0.5,0.0,1.0,0.7142857142857143,0.02666666666666667,1.0,0.282842712474619
35,3398,4326,3,0.16666666666666666,2,1.0,0.04,0.07692307692307693,0.908465248289621,1.0,1.0,1.0,0.9182958340544896,0.3333333333333333,0.0,1.0,0.9,0.04,0.8333333333333333,0.3464101615137754
35,3398,2344,16,0.3137254901960784,5,1.0,0.06666666666666667,0.125,0.7979168917078058,1.0,1.0,1.0,1.4966407621868583,0.875,0.0,1.0,0.6470588235294118,0.21333333333333335,0.47499999999999987,1.0
35,3398,5767,1,0.1,1,1.0,0.013333333333333334,0.02631578947368421,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.013333333333333334,1.0,0.1414213562373095
35,3398,2989,3,0.21428571428571427,2,1.0,0.04,0.07692307692307693,0.8808251803598827,1.0,1.0,1.0,0.9182958340544896,0.3333333333333333,0.0,1.0,0.8,0.04,0.8333333333333333,0.3464101615137754
35,3474,4326,4,0.2222222222222222,3,1.0,0.05333333333333334,0.10126582278481014,0.9259713562282996,1.0,1.0,1.0,1.5,0.5,0.0,1.0,0.7692307692307693,0.05333333333333334,0.8333333333333333,0.4898979485566356
35,3474,5767,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
35,3474,2344,5,0.09803921568627451,3,1.0,0.06666666666666667,0.125,0.9299817480463239,1.0,1.0,1.0,1.3709505944546687,0.6,0.0,1.0,0.7333333333333333,0.06666666666666667,0.7333333333333332,0.5477225575051661
35,3474,2989,2,0.14285714285714285,2,1.0,0.02666666666666667,0.05194805194805195,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.8571428571428571,0.02666666666666667,1.0,0.282842712474619
35,3999,4326,7,0.3888888888888889,4,1.0,0.06666666666666667,0.125,0.933579955310489,1.0,1.0,1.0,1.8423709931771084,0.5714285714285714,0.0,1.0,0.9473684210526315,0.09333333333333334,0.75,0.7483314773547883
35,3999,5767,3,0.3,3,1.0,0.04,0.07692307692307693,0.7076553232957626,1.0,1.0,1.0,1.584962500721156,0.6666666666666666,0.0,1.0,0.6,0.04,1.0,0.4242640687119285
35,3999,2344,7,0.13725490196078433,4,1.0,0.06666666666666667,0.125,0.9044291982982916,1.0,1.0,1.0,1.8423709931771084,0.5714285714285714,0.0,1.0,0.8947368421052632,0.09333333333333334,0.75,0.7483314773547883
35,3999,2989,4,0.2857142857142857,3,1.0,0.05333333333333334,0.10126582278481014,0.9226271059191403,1.0,1.0,1.0,1.5,0.25,0.0,1.0,0.9230769230769231,0.05333333333333334,0.8333333333333333,0.4898979485566356
35,4073,4326,7,0.3888888888888889,3,1.0,0.06666666666666667,0.125,1.0,1.0,1.0,1.0,1.3787834934861753,0.42857142857142855,0.0,1.0,1.0,0.09333333333333334,0.7142857142857142,0.648074069840786
35,4073,5767,1,0.1,1,1.0,0.013333333333333334,0.02631578947368421,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.013333333333333334,1.0,0.1414213562373095
35,4073,2344,19,0.37254901960784315,5,1.0,0.06666666666666667,0.125,0.8299250769438711,1.0,1.0,1.0,1.4657904693384451,0.7894736842105263,0.0,1.0,0.8378378378378378,0.25333333333333335,0.4526315789473683,1.0
35,4073,2989,4,0.2857142857142857,3,1.0,0.05333333333333334,0.10126582278481014,0.9344461357004794,1.0,1.0,1.0,1.5,0.0,0.0,1.0,1.0,0.05333333333333334,0.8333333333333333,0.4898979485566356
35,4088,4326,1,0.05555555555555555,1,1.0,0.013333333333333334,0.02631578947368421,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.013333333333333334,1.0,0.1414213562373095
35,4088,5767,1,0.1,1,1.0,0.013333333333333334,0.02631578947368421,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.013333333333333334,1.0,0.1414213562373095
35,4088,2344,4,0.0784313725490196,3,1.0,0.05333333333333334,0.10126582278481014,0.6928998152559478,1.0,1.0,1.0,1.5,0.75,0.0,1.0,0.5384615384615384,0.05333333333333334,0.8333333333333333,0.4898979485566356
35,4088,2989,2,0.14285714285714285,2,1.0,0.02666666666666667,0.05194805194805195,0.7609096232928763,1.0,1.0,1.0,1.0,0.5,0.0,1.0,0.7142857142857143,0.02666666666666667,1.0,0.282842712474619
35,4143,4326,2,0.1111111111111111,2,1.0,0.02666666666666667,0.05194805194805195,0.8597186998521972,1.0,1.0,1.0,1.0,0.5,0.0,1.0,0.8571428571428571,0.02666666666666667,1.0,0.282842712474619
35,4143,5767,2,0.2,2,1.0,0.02666666666666667,0.05194805194805195,0.7609096232928763,1.0,1.0,1.0,1.0,0.5,0.0,1.0,0.7142857142857143,0.02666666666666667,1.0,0.282842712474619
35,4143,2344,1,0.0196078431372549,1,1.0,0.013333333333333334,0.02631578947368421,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.013333333333333334,1.0,0.1414213562373095
35,4143,2989,3,0.21428571428571427,3,1.0,0.04,0.07692307692307693,0.7396673768007592,1.0,1.0,1.0,1.584962500721156,0.6666666666666666,0.0,1.0,0.7,0.04,1.0,0.4242640687119285
35,4251,4326,8,0.4444444444444444,5,1.0,0.06666666666666667,0.125,0.9290814371994273,1.0,1.0,1.0,2.1556390622295662,0.5,0.0,1.0,1.0,0.10666666666666667,0.75,0.8944271909999159
35,4251,5767,1,0.1,1,1.0,0.013333333333333334,0.02631578947368421,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.013333333333333334,1.0,0.1414213562373095
35,4251,2344,13,0.2549019607843137,3,1.0,0.06666666666666667,0.125,0.7743787950430012,1.0,1.0,1.0,1.2389012566026305,0.6923076923076923,0.0,1.0,0.7419354838709677,0.17333333333333334,0.641025641025641,0.8831760866327847
35,4251,2989,9,0.6428571428571429,6,1.0,0.06666666666666667,0.125,0.8133034314694689,1.0,1.0,1.0,2.2810361125534233,0.5555555555555556,0.0,1.0,0.9130434782608695,0.12,0.7222222222222223,1.0
